city,state_id,state_name,county_name,lat,lng,zips,id
Hookerton,NC,North Carolina,Greene,35.4228,-77.5893,28538,1840016313
Allison,PA,Pennsylvania,Fayette,39.9852,-79.8732,15417 15413,1840026568
Rosburg,WA,Washington,Wahkiakum,46.3076,-123.6345,98643,1840023878
Napoleonville,LA,Louisiana,Assumption,29.9384,-91.0263,70390,1840018259
Garfield,AR,Arkansas,Benton,36.4555,-93.9757,72732,1840016074
Grantfork,IL,Illinois,Madison,38.8289,-89.6665,62249,1840012790
Barnes Lake,MI,Michigan,Lapeer,43.1792,-83.3002,48461 48421,1840148573
Elkton,TN,Tennessee,Giles,35.0627,-86.8957,38477 38449 38455,1840013454
Cedar Grove,WV,West Virginia,Kanawha,38.2223,-81.4378,25039 25086,1840006203
Bonnie,IL,Illinois,Jefferson,38.2030,-88.9068,62816,1840012911
Alexandria,OH,Ohio,Licking,40.0900,-82.6118,43001,1840010487
Morgan Farm,TX,Texas,San Patricio,28.0055,-97.5535,78387,1840037133
Cochrane,WI,Wisconsin,Buffalo,44.2279,-91.8380,54622,1840002380
Bedias,TX,Texas,Grimes,30.7792,-95.9469,77831,1840019577
Perrinton,MI,Michigan,Gratiot,43.1807,-84.6793,48871,1840010998
St. Pierre,MT,Montana,Hill,48.2439,-109.8161,59521,1840032852
Springdale,WA,Washington,Stevens,48.0572,-117.7466,99173,1840022275
Westport,OK,Oklahoma,Pawnee,36.1942,-96.3362,74020 74044,1840022664
Reedsville,PA,Pennsylvania,Mifflin,40.6646,-77.5930,17084,1840005370
Cohasset,CA,California,Butte,39.9022,-121.7453,95973,1840025567
Avinger,TX,Texas,Cass,32.8980,-94.5533,75630,1840020681
Bloomingdale,MI,Michigan,Van Buren,42.3833,-85.9590,49026,1840011203
Beauregard,MS,Mississippi,Copiah,31.7210,-90.3859,39191,1840018148
Harrod,OH,Ohio,Allen,40.7074,-83.9213,45850,1840011952
Angoon,AK,Alaska,Hoonah-Angoon,57.4550,-134.4978,99820,1840023312
St. Cloud,WI,Wisconsin,Fond du Lac,43.8245,-88.1687,53079,1840002611
Runville,PA,Pennsylvania,Centre,40.9567,-77.8332,16823,1840101105
Fort Jennings,OH,Ohio,Putnam,40.9067,-84.2997,45844,1840011754
Avoca,WI,Wisconsin,Iowa,43.1906,-90.3260,53506,1840002954
Prentice,WI,Wisconsin,Price,45.5409,-90.2897,54556,1840002012
Pinehill,NM,New Mexico,Cibola,34.8922,-108.4224,87321 87357,1840019173
Earling,IA,Iowa,Shelby,41.7763,-95.4190,51530,1840008160
Willernie,MN,Minnesota,Washington,45.0539,-92.9571,55090,1840009997
Gauley Bridge,WV,West Virginia,Fayette,38.1681,-81.2039,25090 25085,1840006294
Lewiston Woodville,NC,North Carolina,Bertie,36.1141,-77.1811,27849,1840016148
Delbarton,WV,West Virginia,Mingo,37.7052,-82.1860,25670,1840006360
Miller,OH,Ohio,Lawrence,38.5325,-82.3061,45623,1840094852
Alma,MO,Missouri,Lafayette,39.0964,-93.5478,64001,1840007387
Towner,ND,North Dakota,McHenry,48.3471,-100.4070,58788,1840001876
Glenburn,ND,North Dakota,Renville,48.5136,-101.2211,58740,1840000042
New Stuyahok,AK,Alaska,Dillingham,59.4762,-157.2710,99636,1840023282
Sulphur Springs,IN,Indiana,Henry,39.9991,-85.4392,47388 47356,1840010536
Sandy Level,VA,Virginia,Henry,36.5645,-79.7276,24148 24054,1840006557
Lucerne,WY,Wyoming,Hot Springs,43.7136,-108.1873,82443,1840017431
Plainview,AR,Arkansas,Yell,34.9899,-93.2980,72857,1840014609
Noblestown,PA,Pennsylvania,Allegheny,40.3955,-80.2019,15057 15071,1840026478
De Beque,CO,Colorado,Mesa,39.3105,-108.2049,81630,1840021461
Axtell,KS,Kansas,Marshall,39.8711,-96.2566,66403,1840007292
Hornbeck,LA,Louisiana,Vernon,31.3266,-93.3960,71439,1840017110
Saint George,VT,Vermont,Chittenden,44.3770,-73.1300,05495,1840152382
Randolph,MN,Minnesota,Dakota,44.5260,-93.0198,55065,1840008950
Briny Breezes,FL,Florida,Palm Beach,26.5090,-80.0542,33435,1840015991
Byron,WY,Wyoming,Big Horn,44.7963,-108.5082,82412,1840022343
Pierce,ID,Idaho,Clearwater,46.4931,-115.7995,83546,1840019877
Point Reyes Station,CA,California,Marin,38.0847,-122.8093,94956,1840018885
Chesapeake Landing,MD,Maryland,Kent,39.2697,-76.1584,21620,1840068339
Pinecraft,FL,Florida,Sarasota,27.3229,-82.4999,34232 34237 34239,1840047792
